2020-08-23 07:25:08,841 [AUDIT] Token created by 'anonymous': tokenId='f974c77c-f070-4cd1-9c72-8abc4578dfd6', issuer='jfrou@01egd39nq95agxd59x2aac8jxb', subject='jfrou@01egd39nq95agxd59x2aac8jxb', expiry=none, refreshable=false
2020-08-23 08:25:29,433 [AUDIT] Token created by 'jffe@000': tokenId='cd29d995-29c1-47dd-a6ce-18091864cf6f', issuer='jffe@000', subject='jffe@000', expiry=1598171729433, refreshable=false
2020-08-23 08:25:29,435 [AUDIT] Token created by 'jffe@000': tokenId='a92b521f-8b28-4435-b21d-063302f10027', issuer='jffe@000', subject='jffe@000', expiry=1598171729435, refreshable=false
2020-08-23 08:25:29,443 [AUDIT] Token created by 'jffe@000': tokenId='bb2cf374-5f0f-4a96-a8fe-79fc1adddf5b', issuer='jffe@000', subject='jffe@000', expiry=1598171729433, refreshable=false
2020-08-23 08:34:14,931 [AUDIT] Token created by 'jffe@000': tokenId='61206496-3d01-4618-bed7-e8c21c450fde', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598172254931, refreshable=false
2020-08-23 08:34:36,779 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='1e3a6c11-ec39-4f27-8a11-7b04a48e99f4', tokenId='7b7fd4e2-5971-4cd1-bbe9-3b4b5c80cc38', issuer='jffe@000', subject='maven', expiry=1598173476777, refreshable=true
2020-08-23 08:35:29,557 [AUDIT] Token created by 'jffe@000': tokenId='743c0901-7278-4e19-95a8-0925dfbb7b68', issuer='jffe@000', subject='jffe@000', expiry=1598172329557, refreshable=false
2020-08-23 08:35:29,558 [AUDIT] Token created by 'jffe@000': tokenId='f7e6ef08-78ae-44e2-96a1-36204b00eac4', issuer='jffe@000', subject='jffe@000', expiry=1598172329558, refreshable=false
2020-08-23 08:35:29,558 [AUDIT] Token created by 'jffe@000': tokenId='98f02206-7946-45e1-8424-0bc8a14a9ad9', issuer='jffe@000', subject='jffe@000', expiry=1598172329558, refreshable=false
2020-08-23 08:35:29,561 [AUDIT] Token created by 'jffe@000': tokenId='ded136eb-ab51-4cf2-a4e5-074667f5df99', issuer='jffe@000', subject='jffe@000', expiry=1598172329561, refreshable=false
2020-08-23 08:44:14,918 [AUDIT] Token created by 'jffe@000': tokenId='82e5dc0c-64b4-4756-bb83-49363c1981b7', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598172854917, refreshable=false
2020-08-23 08:45:29,679 [AUDIT] Token created by 'jffe@000': tokenId='64c9eba3-c0e1-48ea-855e-75458ed90aa7', issuer='jffe@000', subject='jffe@000', expiry=1598172929679, refreshable=false
2020-08-23 08:45:29,680 [AUDIT] Token created by 'jffe@000': tokenId='d10dbb9d-0557-4434-b430-cf76a1269194', issuer='jffe@000', subject='jffe@000', expiry=1598172929680, refreshable=false
2020-08-23 08:45:29,687 [AUDIT] Token created by 'jffe@000': tokenId='00dfee70-c13e-4711-92d8-fdaa35917c65', issuer='jffe@000', subject='jffe@000', expiry=1598172929687, refreshable=false
2020-08-23 08:45:29,690 [AUDIT] Token created by 'jffe@000': tokenId='2c68ba04-9837-48b9-9392-f5356f7dac3f', issuer='jffe@000', subject='jffe@000', expiry=1598172929690, refreshable=false
2020-08-23 08:51:51,287 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='7b7fd4e2-5971-4cd1-bbe9-3b4b5c80cc38', tokenId='6348a543-2ac7-40f5-95ec-a3b355305538', issuer='jffe@000', subject='maven', expiry=1598174511285, refreshable=true
2020-08-23 08:54:14,505 [AUDIT] Token created by 'jffe@000': tokenId='5b1a6f74-4701-4218-997c-07d8f2758dfd', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598173454504, refreshable=false
2020-08-23 08:55:29,724 [AUDIT] Token created by 'jffe@000': tokenId='818ba6cb-2392-48e1-9fb7-11e58c56aa03', issuer='jffe@000', subject='jffe@000', expiry=1598173529724, refreshable=false
2020-08-23 08:55:29,726 [AUDIT] Token created by 'jffe@000': tokenId='44652b8d-f265-4c08-9dc6-9d06235e3dba', issuer='jffe@000', subject='jffe@000', expiry=1598173529726, refreshable=false
2020-08-23 08:55:29,726 [AUDIT] Token created by 'jffe@000': tokenId='4f156937-8b98-40f8-add7-a324a4cc8f81', issuer='jffe@000', subject='jffe@000', expiry=1598173529726, refreshable=false
2020-08-23 08:55:29,729 [AUDIT] Token created by 'jffe@000': tokenId='2d2731aa-a9fe-4368-b24b-43a5dbf988a6', issuer='jffe@000', subject='jffe@000', expiry=1598173529729, refreshable=false
2020-08-23 09:02:41,236 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='6348a543-2ac7-40f5-95ec-a3b355305538', tokenId='1f4f2fe9-8bbb-4b76-a18b-dec3850dd562', issuer='jffe@000', subject='maven', expiry=1598175161232, refreshable=true
2020-08-23 09:04:14,895 [AUDIT] Token created by 'jffe@000': tokenId='42c0f94c-ec83-4511-a031-6e6e15b34c2d', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598174054895, refreshable=false
2020-08-23 09:05:29,765 [AUDIT] Token created by 'jffe@000': tokenId='56a69fbb-362a-485a-b1de-aff14968009b', issuer='jffe@000', subject='jffe@000', expiry=1598174129764, refreshable=false
2020-08-23 09:05:29,765 [AUDIT] Token created by 'jffe@000': tokenId='dbf02213-e2ea-4669-ad9b-d889cde2b8fd', issuer='jffe@000', subject='jffe@000', expiry=1598174129765, refreshable=false
2020-08-23 09:05:29,765 [AUDIT] Token created by 'jffe@000': tokenId='a0689da9-01da-4873-a1f0-b5a4e8420ede', issuer='jffe@000', subject='jffe@000', expiry=1598174129765, refreshable=false
2020-08-23 09:05:29,766 [AUDIT] Token created by 'jffe@000': tokenId='698149be-279e-41b5-8816-89139b8cc49d', issuer='jffe@000', subject='jffe@000', expiry=1598174129766, refreshable=false
2020-08-23 09:14:14,885 [AUDIT] Token created by 'jffe@000': tokenId='5d403f09-fb7b-4a63-9543-fbc0bc28c243', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1598174654885, refreshable=false
2020-08-23 09:15:29,903 [AUDIT] Token created by 'jffe@000': tokenId='bc93b821-19ab-476c-8e2f-ea92309d14f2', issuer='jffe@000', subject='jffe@000', expiry=1598174729903, refreshable=false
2020-08-23 09:15:29,907 [AUDIT] Token created by 'jffe@000': tokenId='d8e876f1-7ca3-41fd-b98c-2649dac85457', issuer='jffe@000', subject='jffe@000', expiry=1598174729907, refreshable=false
2020-08-23 09:15:29,907 [AUDIT] Token created by 'jffe@000': tokenId='455424da-eb92-4a66-9f09-a3528f9d7986', issuer='jffe@000', subject='jffe@000', expiry=1598174729907, refreshable=false
2020-08-23 09:15:29,914 [AUDIT] Token created by 'jffe@000': tokenId='fc85b44c-5197-4f1a-8ce6-2ed4123925fc', issuer='jffe@000', subject='jffe@000', expiry=1598174729914, refreshable=false
